Title;Artist;Year;Duo;Explicit;"Date Added"
"A Certain Smile";"Johnny Mathis";1958;0;0;2011-08-02
"A Change Is Gonna Come";"Sam Cooke";1964;0;0;2011-05-30
"A Change Is Gonna Come";Seal;2008;0;0;2011-12-28
"A Change Is Gonna Come";"Adam Lambert";2009;0;0;2011-05-30
"A chi";"Fausto Leali";1967;0;0;2012-09-23
"A Complicated Song";"Weird Al Yankovic";2003;0;0;2011-11-09
"A Country Boy Can Survive";"Hank Williams, Jr.";1981;0;0;2012-05-02
"A Cowboy And A Dancer";"Tracy Byrd";2006;0;0;2013-07-30
"A crédit et en stéréo";"Eddy Mitchell";1975;0;0;2012-12-10
"A Day In The Life";"The Beatles";1967;0;0;2011-12-14
"A Day In The Life Of A Fool";"Jack Jones";1967;0;0;2013-01-28
"A Dear John Letter";"Jean Shepard";1953;1;0;2014-03-03
"A Decade Under The Influence";"Taking Back Sunday";2004;0;0;2013-11-12
"A Deeper Love";"Aretha Franklin";1993;0;0;2011-05-31
"A Different Corner";"George Michael";1986;0;0;2014-06-03
"A Different Kind Of Pain";Cold;2005;0;0;2012-09-05
"A Different World";"Bucky Covington";2007;0;0;2012-04-17
"A dios le pido";Juanes;2002;0;0;2011-06-28
"A Drop In The Ocean";"Ron Pope";2009;0;0;2011-05-31
"A Fallen Star";"Ferlin Husky";1957;0;0;2012-04-29
"A Favor House Atlantic";"Coheed And Cambria";2004;0;0;2011-05-30
"A Feelin' Like That";"Gary Allan";2006;0;0;2012-06-01
"A felicidade";"Antonio Carlos Jobim";1959;0;0;2012-08-09
"A Fine Romance";"Johnny Mercer";1955;0;0;2013-07-25
"A Fine Romance";"Ella Fitzgerald";1949;1;0;2011-05-31
"A Fire I Can't Put Out";"George Strait";1982;0;0;2011-05-30
"A Foggy Day (In London Town)";"Michael Bublé";2005;0;0;2011-05-30
"A Fool For Your Stockings";"ZZ Top";1979;0;0;2013-05-14
"A Fool In Love";"Tina Turner";1960;0;0;2011-06-24
"A Forest";"The Cure";1980;0;0;2011-11-22
"A fuego lento";Rosana;2003;0;0;2012-06-22
"A Girl Like You";"Edwyn Collins";1994;0;0;2011-10-08
"A Girl Like You";"The Smithereens";1990;0;0;2012-04-02
"A Glass Of Champagne";Sailor;1975;0;0;2013-02-03
"A Good Way To Get On My Bad Side";"Tracy Byrd";2001;1;0;2013-12-07
"A Groovy Kind Of Love";"Phil Collins";1988;0;0;2011-05-31
"A Hard Day's Night";"The Beatles";1964;0;0;2011-05-31
"A Headache Tomorrow (Or A Heartache Tonight)";"Mickey Gilley";1980;0;0;2011-12-28
"A Holly Jolly Christmas";"Lady Antebellum";2012;0;0;2012-12-04
"A Horse With No Name";America;1972;0;0;2007-08-22
"A House Is Not A Home";Glee;2010;0;0;2011-10-20
"A House Is Not A Home";"Luther Vandross";1981;0;0;2013-04-21
"A Hundred Pounds Of Clay";"Gene McDaniels";1959;0;0;2011-05-31
"A Hundred Sinners (Come And Get It)";"The Feeling";2011;0;0;2012-02-22
"A Kind of Magic";Queen;1986;0;0;2011-05-31
"A Kiss To Build A Dream On";"Louis Armstrong";1928;0;0;2011-05-30
"A la claire fontaine";Comptine;1734;0;0;2008-06-26
"A la faveur de l'automne";Tété;2003;0;0;2012-08-21
"A la faveur de l'automne";"Princess Sarah";2012;0;0;2012-09-11
"A la Huella a la Huella";"Florent Pagny";2012;0;0;2013-01-21
"A Lifetime";"Better Than Ezra";2005;0;0;2011-06-03
"A Little Bit Country, A Little Bit Rock 'N Roll";"Donny Osmond";1976;0;0;2013-01-31
"A Little Bit Is Better Than Nada";"Texas Tornados";1996;0;0;2013-02-26
"A Little Bit Lonesome";"Kasey Chambers";2002;0;0;2011-05-31
"A Little Bit Longer";"Jonas Brothers";2008;0;0;2011-05-31
"A Little Bit More";"Dr. Hook & The Medicine Show";1976;0;0;2011-07-24
"A Little Bit More";911;1999;0;0;2013-10-08
"A Little Bit Of Good";"Chicago (The Musical)";1975;0;0;2013-11-08
"A Little Bit Of Me, A Little Bit Of You";"The Monkees";1967;0;0;2013-12-07
"A Little Bit Of Soap";"The Jarmels";1961;0;0;2011-05-31
"A Little Bit Stronger";"Sara Evans";2010;0;0;2011-05-31
"A Little Bitty Tear";"Burl Ives";1962;0;0;2011-05-31
"A Little Bluer Than That";"Alan Jackson";2002;0;0;2013-04-19
"A Little Less Conversation";"Junkie XL";2004;0;0;2007-05-18
"A Little Less Conversation";"Elvis Presley";1970;0;0;2011-05-30
"A Little Less Talk And A Lot More Action";"Toby Keith";1993;0;0;2014-04-14
"A Little More Country Than That";"Easton Corbin";2009;0;0;2011-05-30
"A Little More Love";"Olivia Newton-John";1978;0;0;2011-05-30
"A Little More You";"Little Big Town";2007;0;0;2011-08-20
"A Little Party Never Killed Nobody (All We Got)";Fergie;2013;0;0;2014-01-21
"A Little Past Little Rock";"Lee Ann Womack";1998;0;0;2011-10-20
"A Little Ray Of Sunshine";Axiom;1970;0;0;2013-10-26
"A Little Time";"The Beautiful South";1990;1;0;2011-05-31
"A Little Too Late";"Toby Keith";2006;0;0;2011-05-31
"A lo clasico";"Daddy Yankee";2000;0;0;2013-08-15
"A Long Walk";"Jill Scott";2001;0;0;2013-02-18
"A Love Before Time";"CoCo Lee";2000;0;0;2013-07-24
"A Love That Will Last";"Renee Olstead";2004;0;0;2011-06-13
"A Love Worth Waiting For";"Shakin' Stevens";1987;0;0;2011-09-24
"A Lovely Way To Spend An Evening";"Johnny Mathis";1943;0;0;2012-01-31
"A Lover's Concerto";"The Toys";1967;0;0;2011-09-23
"A ma fille";"Charles Aznavour";1964;0;0;2011-08-29
"A Man And A Woman";"Herbie Mann";1967;0;0;2012-01-16
"A Man Without Love";"Engelbert Humperdinck";1968;0;0;2011-05-31
"A Marshmallow World";"Dean Martin";1966;0;0;2012-11-06
"A Matter Of Trust";"Billy Joel";1986;0;0;2011-05-31
"A media luz";"Julio Iglesias";1995;0;0;2012-12-11
"A Mess Of Blues";"Elvis Presley";1968;0;0;2014-07-05
"A Message To You Rudy";"The Specials";1979;0;0;2011-05-30
"A Mighty Fortress Is Our God";"Gospel Singer";1529;0;0;2011-05-30
"A Million Love Songs";"Take That";1992;0;0;2011-05-31
"A Million To One";"Jimmy Charles";1961;0;0;2012-10-27
"A Mind Of Its Own";"Victoria Beckham";2002;0;0;2014-04-07
"A Moment Like This";"Kelly Clarkson";2003;0;0;2007-05-04
"A Moment Like This";"Leona Lewis";2006;0;0;2012-05-02
"A Natural Man";"Lou Rawls";1971;0;0;2011-08-29
"A New Day Has Come";"Céline Dion";2002;0;0;2007-05-04
"A Night In Tunisia";"Ella Fitzgerald";1989;0;0;2011-12-22
"A Night Like This";"Caro Emerald";2009;0;0;2011-11-04
"A Night To Remember";"Liberty X";2005;0;0;2011-05-31
"A Night To Remember";Shalamar;1982;0;0;2014-03-31
"A Nightingale Sang In Berkeley Square";"Vera Lynn";1940;0;0;2014-07-05
"A Nightingale Sang In Berkeley Square";"Nat King Cole";1961;0;0;2011-05-30
"A Nightingale Sang In Berkeley Square";"Bobby Darin";1962;0;0;2012-09-05
"A Pain That I'm Used To";"Depeche Mode";2005;0;0;2014-02-05
"A Paris";"Yves Montand";1948;0;0;2011-12-01
"A Perfectly Good Heart";"Taylor Swift";2006;0;0;2013-09-10
"A Picture Of Me (Without You)";"George Jones";1972;0;0;2013-03-05
"A Piece Of Sky";"Barbra Streisand";1983;0;0;2011-08-10
"A pile ou face";"Corynne Charby";1987;0;0;2012-02-15
"A Pirate Looks At Forty";"Jimmy Buffett";1975;0;0;2014-05-26
"A Place In This World";"Taylor Swift";2007;0;0;2011-05-30
"A Place To Crash";"Robbie Williams";2005;0;0;2013-11-28
"A présent tu peux t'en aller";"Richard Anthony";1965;0;0;2011-05-30
"A Prophecy";"Asking Alexandria";2010;0;0;2013-07-05
"A Puro Dolor";"Son by Four";2002;0;0;2011-11-25
"A Question Of Lust";"Depeche Mode";1986;0;0;2011-06-28
"A qui la faute";"Le Roi Soleil";2005;0;0;2013-11-09
"A Real Fine Place To Start";"Sara Evans";2002;0;0;2011-05-30
"A Rose Is A Rose";"Meredith Edwards";2001;0;0;2014-04-10
"A Rose Is Still A Rose";"Aretha Franklin";1998;0;0;2011-12-10
"A Shot At Redemption";H.E.A.T;2014;0;0;2014-06-25
"A Song For Mama";"Boyz II Men";1997;0;0;2007-05-04
"A Song For My Son";"Mikki Viereck";1991;0;0;2013-05-23
"A Song For You";"Amy Winehouse";2011;0;0;2012-02-14
"A Song For You";"Michael Bublé";2005;0;0;2011-05-30
"A Song For You";"Leon Russell";1970;0;0;2011-05-30
"A Song For You";"Herbie Hancock";2005;0;0;2011-05-30
"A Song For You";"Whitney Houston";2009;0;0;2011-05-30
"A Song For You";"Donny Hathaway";1971;0;0;2011-05-31
"A Song For You";"The Carpenters";1972;0;0;2012-02-09
"A Song For You";"Céline Dion";2007;0;0;2011-05-30
"A Song Of Old Hawaii";"Andy Williams";1959;0;0;2011-05-31
"A Sorta Fairytale";"Tori Amos";2002;0;0;2007-07-31
"A Spaceman Came Travelling";"Chris De Burgh";1976;0;0;2011-11-19
"A Spoonful Of Sugar";"Mary Poppins";1964;0;0;2012-05-21
"A Steel Guitar And A Glass Of Wine";"Paul Anka";1962;0;0;2013-02-27
"A Story Untold";"The Nutmegs";1955;0;0;2012-06-13
"A Summer Song";"Chad & Jeremy";1964;0;0;2012-07-25
"A Sunday Kind Of Love";"Etta James";1961;0;0;2011-05-31
"A Taste Of Honey";"The Beatles";1963;0;0;2011-05-30
"A te";Jovanotti;2008;0;0;2011-12-10
"A Teenager In Love";"Dion And The Belmonts";1959;0;0;2012-02-02
"A Thing Called Love";"Johnny Cash";1972;0;0;2014-05-12
"A Thousand And One Nights";Smash;2012;0;0;2012-07-09
"A Thousand Miles";"Boyce Avenue";2011;1;0;2012-04-05
"A Thousand Miles";"Vanessa Carlton";2002;0;0;2007-05-04
"A Thousand Miles From Nowhere";"Dwight Yoakam";1993;0;0;2014-04-30
"A Thousand Oceans";"Tori Amos";1999;0;0;2012-03-05
"A Thousand Years";"Christina Perri";2011;0;0;2012-03-05
"A Thousand Years";"Boyce Avenue";2013;0;0;2013-08-07
"A Thousand Years, Pt. 2";"Christina Perri";2011;1;0;2013-04-30
"A toi";"Hélène Ségara";2013;1;0;2014-02-25
"A toi";"Joe Dassin";1976;0;0;2013-06-14
"A toutes les filles";"Didier Barbelivien";1990;0;0;2014-03-03
"A trop t'aimer";"Amel Bent";2009;0;0;2014-04-22
"A View To A Kill";"Duran Duran";1989;0;0;2011-05-31
"A White Sport Coat (And A Pink Carnation)";"Marty Robbins";1962;0;0;2012-06-21
"A Whiter Shade Of Pale";"Procol Harum";1967;0;0;2011-05-30
"A Wink And A Smile";"Harry Connick Jr.";1993;0;0;2011-05-31
"A Winter's Tale";Queen;1995;0;0;2011-06-28
"A Woman Like You";"Johnny Reid";2009;0;0;2013-03-07
"A Woman Like You";"Lee Brice";2011;0;0;2012-12-14
"A Woman Scorned";"Lady Antebellum";2007;0;0;2011-05-30
"A Woman's Touch";"Toby Keith";1996;0;0;2013-04-09
"A Woman's Worth";"Alicia Keys";2001;0;0;2008-03-27
"A Wonder Like You";"Ricky Nelson";1958;0;0;2011-12-26
"A World Alone";Lorde;2013;0;0;2014-05-07
"A World To Believe In";"Céline Dion";2007;0;0;2011-05-31
"A World Without Love";"Peter And Gordon";1964;0;0;2012-03-30
"A Year Without Rain";"Selena Gomez";2010;0;0;2011-05-30
"A-Tisket, A-Tasket";"Ella Fitzgerald";1919;0;0;2011-05-31
A.D.I.D.A.S.;"Killer Mike";2003;0;0;2012-06-08
Aamu;"Pepe Willberg";2006;0;0;2012-02-08
Aamuisin;"Zen Café";2001;0;0;2012-06-08
"Aan alle mooie meiden";"Willem Barth";1999;0;0;2011-05-30
"Aan de Amsterdamse grachten";"Wim Sonneveld";1962;0;0;2012-07-15
"Aaron's Party (Come Get It)";"Aaron Carter";2000;0;0;2013-07-24
Abacab;Genesis;1981;0;0;2011-05-31
Abballati;"Roberto Alagna";2008;0;0;2013-03-13
ABC;"The Jackson 5";1970;0;0;2008-08-22
"Aber Dich Gibt's Nur Einmal Für Mich";"Nilsen Brothers";1965;1;0;2014-03-31
"Aber Dich gibt's nur einmal für mich";"Andreas Martin";2010;0;0;2012-11-23
"Aber Dich gibt's nur einmal für mich";"DJ Ötzi";2007;0;0;2013-02-07
"About A Girl";Sugababes;2009;0;0;2013-08-20
"About A Girl (MTV Unplugged)";Nirvana;1994;0;0;2012-03-11
"About A Quarter To Nine";"1930s Standards";1935;0;0;2011-05-31
"About Us";"Brooke Hogan";2006;0;0;2013-11-29
"About You Now";"Miranda Cosgrove";2008;0;0;2012-03-05
"About You Now";Sugababes;2007;0;0;2008-09-09
Abracadabra;"Steve Miller Band";1982;0;0;2011-11-29
Abracadabra;"Jessie J";2011;0;0;2011-07-09
"Absolutely Me";"Caro Emerald";2010;0;0;2013-02-19
